title,main_category,price_actual,discount_pct,item_rating,total_sold,potential_score,link_ori
NESTLÉ MILO® CHOCOLATE MALT POWDER Soft Pack 2kg [Exp. date: 2023-07-31] | Shopee Malaysia,Groceries & Pets,37.0,13.450292397660817,4.9,239500,95.2030877845163,https://shopee.com.my/NESTL%C3%89-MILO%C2%AE-CHOCOLATE-MALT-POWDER-Soft-Pack-2kg-Exp.-date-2023-07-31--i.13377506.161686959
Drypers Touch Jumbo Pack - NB80/ S44 / M40 / L34 / XL30 / XXL 24 (3/4 Pack) | Shopee Malaysia,Baby & Toys,99.0,25.89820359281437,5.0,32300,89.93025395031763,https://shopee.com.my/Drypers-Touch-Jumbo-Pack-NB80-S44-M40-L34-XL30-XXL-24-%283-4-Pack%29-i.68461810.2165760477
"3 BOTOL INAI RM 9 - Inai Kuku Ruby Jari Cantik - Warna Cantik, Mesra Wudhuk & Solat | Shopee Malaysia",Health & Beauty,4.88,30.28571428571429,5.0,71800,89.4910431177655,https://shopee.com.my/3-BOTOL-INAI-RM-9-Inai-Kuku-Ruby-Jari-Cantik-Warna-Cantik-Mesra-Wudhuk-Solat-i.10571716.3639683263
Samyang Spicy Chicken Noodle  140g x 5s | Shopee Malaysia,Groceries & Pets,24.1,18.718381112984815,5.0,43400,89.44242773507827,https://shopee.com.my/Samyang-Spicy-Chicken-Noodle-140g-x-5s-i.52784309.2091595155
Pencil Skirt❤/Ready Stock❤/High Quality❤/Skirt Long❤/Skirt Pencil❤/Skirt Knitted❤/Maxi Skirt | Shopee Malaysia,Women Clothes,15.5,37.75100401606426,4.9,59700,89.34202330128798,https://shopee.com.my/Pencil-Skirt%E2%9D%A4-Ready-Stock%E2%9D%A4-High-Quality%E2%9D%A4-Skirt-Long%E2%9D%A4-Skirt-Pencil%E2%9D%A4-Skirt-Knitted%E2%9D%A4-Maxi-Skirt-i.384252651.6979047122
"Kun Ashe Hazy Color Series Premium Microfibre Pillowcase / Sarung Bantal (20"" X 30"") (1 Pcs Only) | Shopee Malaysia",Home & Living,4.9,27.941176470588232,4.9,84800,89.33445621289835,https://shopee.com.my/Kun-Ashe-Hazy-Color-Series-Premium-Microfibre-Pillowcase-Sarung-Bantal-%2820-X-30-%29-%281-Pcs-Only%29-i.26912497.1881778163
50000mAh Portable Mini PowerBank Mirror Screen Digital Display PowerBank External Battery Pack Power Bank | Shopee Malaysia,Mobile & Accessories,22.5,29.6875,4.8,63500,89.2148521249763,https://shopee.com.my/50000mAh-Portable-Mini-PowerBank-Mirror-Screen-Digital-Display-PowerBank-External-Battery-Pack-Power-Bank-i.203532897.6617919859
50000mAh Portable Mini PowerBank Mirror Screen Digital Display PowerBank External Battery Pack Power Bank | Shopee Malaysia,Mobile & Accessories,22.5,29.6875,4.8,63500,89.2148521249763,https://shopee.com.my/50000mAh-Portable-Mini-PowerBank-Mirror-Screen-Digital-Display-PowerBank-External-Battery-Pack-Power-Bank-i.203532897.6617919859
Legging Full Stretch Saiz S-6XL🧦 (BELi4 FREE1 Gift) Inner Legging | Shopee Malaysia,Women Clothes,7.98,11.234705228031142,4.9,56200,88.40773070056092,https://shopee.com.my/Legging-Full-Stretch-Saiz-S-6XL%F0%9F%A7%A6-%28BELi4-FREE1-Gift%29-Inner-Legging-i.11711633.3936709593
Rak Pinggan Sinki Stainless Steel Dish Rack Rak Dapur Rak Sink Rack Kitchen Dish Drainer Rack | Shopee Malaysia,Home & Living,45.54,33.029411764705884,4.9,32900,88.40270404648977,https://shopee.com.my/Rak-Pinggan-Sinki-Stainless-Steel-Dish-Rack-Rak-Dapur-Rak-Sink-Rack-Kitchen-Dish-Drainer-Rack-i.182480224.3901784341
