idElastic,title,item_category_detail,specification,price_ori,price_actual,total_sold,item_rating,total_rating,total_favorite,w_date,seller_name
c0baf59647642ddc1d5d17972b866327,10 pcs Bundle Pack 3D Fish Mouth Duckbill Face Mask Disposable Earloop 4ply Mask (Non-Medical Mask) | Shopee Malaysia,Shopee | Health & Beauty | Medical Supplies | Health Accessories,Product Specifications Category Shopee Health & Beauty Medical Supplies Health Accessories Weight 50g SIRIM Certified Yes Discount Stock 65 Other stocks 154226 Ships From Kuala Lumpur,1.1,1.1,407400,4.9,407400,74600,2023-04-26,wiwutechnologies
771050a2c4a4473f5c4f07f47d0a6ee1,NESTLÉ MILO® CHOCOLATE MALT POWDER Soft Pack 2kg [Exp. date: 2023-07-31] | Shopee Malaysia,Shopee | Groceries & Pets | Milk & Chocolate Drink | Chocolate & Malt,Product Specifications Category Shopee Groceries & Pets Milk & Chocolate Drink Chocolate & Malt BrandMilo Stock 21936 Ships From Selangor,42.75,37.0,239500,4.9,239500,20100,2023-04-28,nestle.soldbyshopee
ab85b3541be6632c2204abf0eb64097b,ELGINI E16028 Tracksuit Slim Fit Track Pant | Shopee Malaysia,Shopee | Men Clothes | Pants | Chinos Pant,"Product Specifications Category Shopee Men Clothes Pants Chinos Pant BrandELGINI Bottoms Length Full Length Pattern Plain Bottoms Fit Type Slim Fit Plus Size No Waist Height Mid Waist Material Spandex, Polyester Stock 60711 Ships From Penang",24.0,24.0,197200,5.0,197200,96600,2023-05-01,elgini_apparel
33800bd3a6918b571291bc196029d5a5,(30 Pcs) 5oz/8oz MOMO HOUSE Double Lock Breastmilk Storage Bag Breast Milk | Shopee Malaysia,Shopee | Baby & Toys | Feeding & Nursing | Breastmilk Storage Bags,Product Specifications Category Shopee Baby & Toys Feeding & Nursing Breastmilk Storage Bags BrandMomo House Discount Stock 583 Other stocks 485170 Ships From Kedah,4.32,4.32,157600,5.0,157600,18200,2023-05-01,momohouse.os
0875b9580c9c7765627722707fd1b1da,Mask Duckbill mask 3D Disposable Mask Face Mask Headloop non Medical Mask 10pcs Face Mask | Shopee Malaysia,Shopee | Health & Beauty | Medical Supplies | Health Accessories,Product Specifications Category Shopee Health & Beauty Medical Supplies Health Accessories Shelf Life 24 Months Weight 10g Pack Type Bundle Warranty Duration 5 Years SIRIM Certified No Pack Size 50Piece Quantity 50 Stock 315863 Ships From Selangor,9.99,0.58,117600,4.9,117600,36300,2023-05-01,mask.medishield
d91e4b08b479e620d5b82a254ba5270a,Axis-Y Dark Spot Correcting Glow Serum 5ml / 50ml | Shopee Malaysia,Shopee | Health & Beauty | Skincare | Essence & Serum,"Product Specifications Category Shopee Health & Beauty Skincare Essence & Serum BrandAxis Y Ingredient Preference Anti-oxidants, Ceramides, Fragrance Free, Naturally Derived, Niacinamide Formulation Cream Skin Type Ageing, All Skin Type, Dull Skin Care Benefits Anti Aging, Dark spots/ Hyperpigmentation, Dullness/Uneven texture, Fineline/ Wrinkles, Uneven skin tone Country of Origin Korea Discount Stock 84 Other stocks 8157 Ships From Selangor",20.0,4.0,113700,5.0,113700,56200,2023-04-29,marshearbeauty
37b842ddac2f9850e9d31fad7d9abc65,【SUPMEDI KF94】10pcs/Pack Korea Adult Earloop KF94 Mask 4ply Fish Type Face Mask Non-Medical Ear Loop Pelitup Muka Dewasa | Shopee Malaysia,Shopee | Health & Beauty | Medical Supplies | Health Accessories,Product Specifications Category Shopee Health & Beauty Medical Supplies Health Accessories Pack Type Bundle SIRIM Certified No Quantity 10pcs per pack Discount Stock 50 Other stocks 71911 Ships From Selangor,9.99,1.99,103200,4.9,103200,45700,2023-05-01,pissardo_gallery
6c786cc7686f39ecef306fc9c4b22d2b,Medishield 50pcs 4ply Hijab Mask 3ply Face Mask Headloop Non Medical Disposable Mask full Black Face Mask | Shopee Malaysia,Shopee | Health & Beauty | Medical Supplies | Health Accessories,Product Specifications Category Shopee Health & Beauty Medical Supplies Health Accessories Shelf Life 24 Months Weight 200g Pack Type Value Size SIRIM Certified No Pack Size 200G/GR Quantity 0 Warranty Duration 24 months Stock 28893 Ships From Selangor,10.0,2.6,102700,4.9,102700,18000,2023-05-01,mask.medishield
2b7b0da8d30b1efa1c174735a0f642b0,💧PUTING PUPICI ORIGINAL [HQ] ANTI COLIC FOR ALL WIDENECK BOTTLE | Shopee Malaysia,Shopee | Baby & Toys | Feeding & Nursing | Bottle Feeding,Product Specifications Category Shopee Baby & Toys Feeding & Nursing Bottle Feeding BrandPupici Discount Stock 1880 Other stocks 81681 Ships From Kedah,2.0,1.86,102100,5.0,102100,8600,2023-05-01,pupici
3b4b8f7e1325ada17cbf55363c0558c7,50pcs Full Black colour 3ply Face Mask 4ply Medical Disposable Mask full Black Face Mask Hitam | Shopee Malaysia,Shopee | Health & Beauty | Medical Supplies | Health Accessories,Product Specifications Category Shopee Health & Beauty Medical Supplies Health Accessories Shelf Life 24 Months Weight 200g Pack Type Value Size SIRIM Certified No Pack Size 200G/GR Quantity 1 Warranty Duration 24 months Discount Stock 43 Other stocks 167037 Ships From Selangor,9.99,2.99,101200,4.9,101200,17800,2023-05-01,mask.medishield
f60167b02fca626e308c3f807286133e,Premium Cotton 4in1 Queen King / 2in1 Single Size Fitted Getah Keliling Cadar Bedsheet Sets Sarung Tilam Cadar Murah | Shopee Malaysia,Shopee | Home & Living | Bedding | Bedding Sets & Sheets,Product Specifications Category Shopee Home & Living Bedding Bedding Sets & Sheets Bundle Set Yes Stock 12619 Ships From Perak,75.0,5.8,96300,4.9,96300,39300,2023-05-02,cloudbedding
